Trade Date,Position,Exit_Date,ret%,duration,dd_overall%,dd_trade%,dd_cumulative%
1983-10-05,1.0,1983-10-05,0.04076422037881944,1.0,0.036851734879592146,0.0,-9.560990350357908
1983-10-06,-1.0,1983-10-06,0.36376679632748044,1.0,0.3289870880328033,0.0,-9.232003262325104
1983-10-07,1.0,1983-10-12,-2.491793806299658,4.0,-2.2617513208116597,-1.9473461765903162,-11.493754583136765
1983-10-13,-1.0,1983-11-03,4.878294443448761,16.0,-0.3819269739620157,-0.6915968832679683,-11.87568155709878
1983-11-04,1.0,1983-12-15,1.3169211530332792,29.0,-0.7314702644027185,-3.6983709557257556,-7.907629595263526
1983-12-16,-1.0,1983-12-16,0.19754846673512017,1.0,0.1857869396378796,0.0,-5.76795559839309
1983-12-19,1.0,1983-12-19,0.11471177631665608,1.0,0.10809525199258554,0.0,-5.659860346400505
1983-12-20,-1.0,1983-12-22,-1.0319010003360662,3.0,-0.9734968448039304,-0.6096972517790193,-6.633357191204435
1983-12-23,1.0,1984-01-26,-0.4907561518368908,23.0,-0.45820254334779237,-4.199093429527611,-7.091559734552227
1984-01-27,-1.0,1984-02-13,7.1902864297844316,12.0,-0.8451765890815616,-0.7856708385571978,-7.936736323633789
1984-02-14,1.0,1984-04-17,-3.3362024445420912,45.0,-4.9441114756238616,-5.439425525783315,-5.355288237645247
1984-04-18,-1.0,1984-05-02,-3.1353394867147055,10.0,-3.0138362616902565,-3.7576812724548367,-6.88911756820441
1984-05-03,1.0,1984-05-17,-2.385626789308848,11.0,-2.22127815505475,-2.6686923839989047,-9.11039572325916
1984-05-18,-1.0,1984-06-22,0.7675734860048022,25.0,-0.5928176798477708,-3.631368091910477,-9.70321340310693
1984-06-25,1.0,1984-07-11,-2.430543514382222,12.0,-2.2260679352405486,-2.5766666673511383,-10.638819154536698
1984-07-12,-1.0,1984-08-02,-2.26690825285778,16.0,-2.025735983436937,-5.64785293594902,-12.664555137973634
1984-08-03,1.0,1986-07-08,47.56846764213842,487.0,-5.42135304668755,-10.221884401882653,-18.085908184661186
1986-07-09,-1.0,1986-08-20,2.808442388294896,31.0,-0.3369710583350526,-3.8534996956343157,-5.2857569368162185
1986-08-21,1.0,1986-09-09,-3.3210204166825297,13.0,-3.1932884158673174,-3.4711492860457582,-7.039455701488251
1986-09-10,-1.0,1986-09-16,6.1090867878668575,5.0,-0.07393052559526436,0.0,-7.113386227083515
1986-09-17,1.0,1987-10-15,21.63131275645689,274.0,-6.128000979213131,-7.653142861306021,-7.488416351031886
1987-10-16,-1.0,1987-10-20,20.338188196179942,3.0,1.7042949779373089,0.0,-5.458317503512603
1987-10-21,1.0,1987-10-23,-7.524242765863276,3.0,-7.5242427658632804,-6.898269615642646,-7.5242427658632804
1987-10-26,-1.0,1987-10-26,-0.5693343547246155,1.0,-0.5264962557256697,0.0,-8.05073902158895
1987-10-27,1.0,1987-11-02,5.800070755817055,5.0,-5.4178684588774155,-1.587336928633719,-13.468607480466366
1987-11-03,-1.0,1987-11-11,0.648926426166363,7.0,-1.9052938083616824,-1.8992044895131006,-4.622910633751876
1987-11-12,1.0,1987-12-04,-10.97435989110772,16.0,-10.745398996671284,-9.633321888305604,-12.831724729637026
1987-12-07,-1.0,1987-12-14,-5.123027413306403,6.0,-4.465654637807082,-4.93893647553875,-17.29737936744411
1987-12-15,1.0,1989-10-27,29.213545368118798,474.0,-0.7524846190124612,-8.125163248517966,-18.049863986456568
1989-10-30,-1.0,1989-12-01,-0.58067754247495,24.0,-0.541435350492693,-2.0544859459796445,-7.29943598110266
1989-12-04,1.0,1989-12-15,-3.078526523412095,10.0,-2.853811450674326,-3.1737818849097046,-10.153247431776986
1989-12-18,-1.0,1989-12-29,-2.5959391839505574,9.0,-2.332367055425587,-4.552871784184632,-12.485614487202573
1990-01-02,0.0,1990-01-03,0.41896082731447404,2.0,0.3666509935635956,0.0,-12.118963493638978
1990-01-04,1.0,1990-01-11,-2.502056276282727,6.0,-2.1988329895697363,-2.276444053404232,-14.317796483208713
1990-01-12,-1.0,1990-02-01,4.10417013058042,15.0,-0.8538717512711375,-1.5562462883582329,-15.171668234479851
1990-02-02,1.0,1990-04-10,2.8526192593140154,47.0,-0.07766646971485575,-2.944725300022604,-10.878919548964253
1990-04-11,-1.0,1990-04-20,1.6938765744228368,7.0,-0.7567938568081702,-0.7322770446558349,-9.013546302329432
1990-04-23,1.0,1990-08-02,1.8074271573500278,72.0,-1.9467860238156867,-8.711056781165922,-8.649521090396862
1990-08-03,-1.0,1990-08-09,1.153756976228948,5.0,0.10211151648358424,-2.885997193434836,-8.547409573913276
1990-08-10,1.0,1990-08-23,-12.616168551850071,10.0,-11.657900080562854,-12.37463725727656,-19.253458647721594
1990-08-24,-1.0,1990-11-12,7.417666547693735,56.0,0.0,-6.212587019167732,-19.253458647721594
1990-11-13,1.0,1991-06-19,37.600040745910704,151.0,-1.0971765312428265,-6.563709689842975,-7.205066016538455
1991-06-20,-1.0,1991-07-15,-2.915431373208077,17.0,-2.767795981993266,-4.755447921448446,-7.831725545610829
1991-07-16,1.0,1992-04-08,15.27641697521207,187.0,-3.1871665506030427,-11.151266313841935,-11.018892096213872
1992-04-09,-1.0,1992-04-13,-1.7904750638812361,3.0,-1.5931845485825324,-0.6865973456875409,-12.612076644796405
1992-04-14,1.0,1992-04-14,-0.36600175684732283,1.0,-0.31984133475244647,0.0,-12.931917979548851
1992-04-15,-1.0,1992-04-23,4.730615657437398,6.0,0.6197484357406469,-0.5070983821485311,-12.312169543808205
1992-04-24,1.0,1992-05-12,1.2088287246248886,13.0,-2.621585698689076,-2.171634725414049,-11.434647357548055
1992-05-13,-1.0,1992-05-20,0.35802541564298185,6.0,0.0010533394525003015,-0.9799405734163247,-7.7097144156327815
1992-05-21,1.0,1994-03-29,30.412129911961493,470.0,-4.827388219058133,-9.01379329872352,-12.207737066804874
1994-03-30,-1.0,1994-04-04,1.219542964570497,3.0,-1.0195248784474766,0.0,-7.038821960919299
1994-04-05,1.0,1994-06-20,-4.304590470161118,53.0,-5.7747030563347,-6.52011122505599,-10.64786508832192
1994-06-21,-1.0,1994-07-14,-1.087645582996577,17.0,-0.9901057138217138,-3.815253011955884,-9.958088547545612
1994-07-15,0.0,1994-07-15,-0.03139695074030335,1.0,-0.028270414584347092,0.0,-9.986358962129959
1994-07-18,-1.0,1994-07-18,-0.06385460178158775,1.0,-0.0574778520338326,0.0,-10.043836814163793
1994-07-19,0.0,1994-07-19,-0.03088979363286004,1.0,-0.02778727316814361,0.0,-10.071624087331935
1994-07-20,1.0,1994-12-09,-0.0922005423993677,101.0,-0.9471348109931319,-7.84100678556544,-11.018758898325068
1994-12-12,-1.0,1994-12-30,-4.561738054545228,14.0,-4.098514605807768,-4.645598368976088,-14.25305314350222
1995-01-03,1.0,1995-12-19,36.477728349210416,245.0,-0.8322662555787508,-7.875857904206662,-15.085319399080971
1995-12-20,-1.0,1996-01-02,-1.9842773137328185,8.0,-1.904140193474694,-3.272084843596148,-5.942745065058816
1996-01-03,1.0,1996-01-10,-6.034293003210323,6.0,-5.675690353550845,-5.299142683864769,-11.61843541860966
1996-01-11,-1.0,1996-01-11,-0.1871276276177669,1.0,-0.16538632505262024,0.0,-11.78382174366228
1996-01-12,1.0,1996-01-15,-2.6800100407371574,2.0,-2.364202434824446,-1.9264219125538697,-14.148024178486725
1996-01-16,-1.0,1996-01-16,0.3814412773539333,1.0,0.32747487320717306,0.0,-13.820549305279552
1996-01-17,1.0,1996-01-19,3.9535591824277017,3.0,1.653594233637036,0.0,-12.166955071642517
1996-01-22,-1.0,1996-01-24,-2.234819825016998,3.0,-2.0020992377283178,-1.509373899175101,-12.415492956701005
1996-01-25,1.0,1996-03-08,1.532748831688302,31.0,-0.9579837537926877,-4.8723335517835835,-13.373476710493692
1996-03-11,-1.0,1996-03-18,-4.526058255907617,6.0,-4.0248859039982365,-3.9156395425320873,-15.097928352253076
1996-03-19,0.0,1996-03-20,-0.37315257569318083,2.0,-0.3168142671704399,0.0,-15.414742619423516
1996-03-21,-1.0,1996-04-01,-0.37459704090945234,8.0,-0.3168538711932706,-1.8215192316039945,-15.731596490616786
1996-04-02,0.0,1996-04-08,-0.14780990412450734,4.0,-0.12455704643446752,0.0,-15.856153537051254
1996-04-09,-1.0,1996-04-09,0.1691797947821705,1.0,0.14235438676783174,0.0,-15.713799150283423
1996-04-10,0.0,1996-04-10,-0.004634112572188265,1.0,-0.0039059174301830923,0.0,-15.717705067713606
1996-04-11,-1.0,1996-04-15,-0.49308666609855223,3.0,-0.4155847581929689,-1.1824633476720554,-16.133289825906573
1996-04-16,0.0,1996-04-16,-0.728640478286513,1.0,-0.6110867981356877,0.0,-16.74437662404226
1996-04-17,1.0,1996-06-19,4.831744827369722,45.0,-0.27248454965797253,-5.580478364600965,-17.016861173700235
1996-06-20,-1.0,1996-07-01,-1.2128317730458416,8.0,-1.0585392281039359,-3.696778457052334,-13.780216576183935
1996-07-02,1.0,1996-07-02,-0.471478257964586,1.0,-0.4065075329074491,0.0,-14.186724109091383
1996-07-03,-1.0,1996-07-12,7.308093775452251,7.0,0.6719444936285179,-0.38101729647949695,-13.514779615462865
1996-07-15,1.0,1996-07-15,-3.7703379066902243,1.0,-3.4719002242852848,0.0,-11.387309659481499
1996-07-16,-1.0,1996-07-18,-5.435689026922286,3.0,-4.816710285300192,-5.2750768007267155,-16.20401994478169
1996-07-19,1.0,1996-07-19,-0.5733630298438763,1.0,-0.480455170131977,0.0,-16.68447511491367
1996-07-22,-1.0,1996-08-01,-0.399018405281526,9.0,-0.3324442787483922,-4.980781997735016,-17.01691939366206
1996-08-02,1.0,1997-03-20,12.393111727078976,160.0,0.08091787821997154,-10.118110366321034,-16.93600151544209
1997-03-21,-1.0,1997-04-02,5.240399790381711,8.0,-0.11635913584538832,-2.0535987292026676,-9.336643991482728
1997-04-03,1.0,1997-10-17,39.13367602428568,139.0,-0.06172293249914716,-4.510869227188987,-4.5247877860022125
1997-10-20,-1.0,1997-10-28,4.786016322248976,7.0,-1.7033858017989851,-3.732345050971026,-6.228173587801197
1997-10-29,1.0,1997-10-31,-2.0111667799585953,3.0,-3.30153440960716,-2.03602587264782,-7.044959779470131
1997-11-03,-1.0,1997-11-03,-0.31166000711827513,1.0,-0.29395988281138846,0.0,-5.973265505161714
1997-11-04,1.0,1997-11-07,-1.3907745064250188,4.0,-1.3076998525781605,-2.117065296987953,-7.280965357739874
1997-11-10,-1.0,1997-11-20,-0.6253317456052065,9.0,-0.5798015578367663,-5.020796943464526,-7.86076691557664
1997-11-21,1.0,1997-12-11,-5.403789944382542,14.0,-4.9790106122472295,-5.623589532288697,-12.83977752782387
1997-12-12,-1.0,1998-01-08,0.8577752639417291,18.0,-1.402552581656219,-5.882166176412856,-14.24233010948009
1998-01-09,1.0,1998-05-26,14.228467588181037,94.0,-2.9836038596591368,-7.310531418771263,-15.075742559120092
1998-05-27,-1.0,1998-06-23,-5.8429495496508,20.0,-5.418631576257761,-7.108925340198607,-12.68068252821955
